DATE,VALUE
2008-09-22,3938.87
2008-09-23,3888.58
2008-09-24,3864.55
2008-09-25,3932.89
2008-09-26,3943.74
2008-09-29,3707.38
2008-09-30,3829.04
2008-10-01,3816.58
2008-10-02,3626.80
2008-10-03,3581.82
2008-10-06,3470.70
2008-10-07,3307.85
2008-10-08,3260.86
2008-10-09,3042.20
2008-10-10,3006.51
2008-10-13,3325.67
2008-10-14,3295.28
2008-10-15,3020.86
2008-10-16,3154.71
2008-10-17,3112.99
2008-10-20,3277.53
2008-10-21,3191.06
2008-10-22,3020.30
2008-10-23,3070.27
2008-10-24,2964.87
2008-10-27,2885.89
2008-10-28,3159.19
2008-10-29,3135.95
2008-10-30,3229.90
2008-10-31,3286.48
2008-11-03,3294.82
2008-11-04,3407.33
2008-11-05,3224.58
2008-11-06,3069.15
2008-11-07,3157.77
2008-11-10,3131.02
2008-11-11,3086.11
2008-11-12,2955.04
2008-11-13,3152.85
2008-11-14,3019.09
2008-11-17,2960.95
2008-11-18,2985.43
2008-11-19,2817.64
2008-11-20,2669.51
2008-11-21,2842.46
2008-11-24,2965.00
2008-11-25,3000.59
2008-11-26,3077.93
2008-11-27,.
2008-11-28,3108.08
2008-12-01,2865.68
2008-12-02,2955.09
2008-12-03,3019.71
2008-12-04,2941.89
2008-12-05,3018.25
2008-12-08,3117.16
2008-12-09,3010.53
2008-12-10,3050.24
2008-12-11,2961.02
2008-12-12,2974.42
2008-12-15,2942.80
2008-12-16,3072.59
2008-12-17,3060.53
2008-12-18,3006.11
2008-12-19,3001.64
2008-12-22,2974.63
2008-12-23,2937.57
2008-12-24,2958.58
2008-12-25,.
2008-12-26,2977.36
2008-12-29,2961.00
2008-12-30,3029.42
2008-12-31,3086.07
2009-01-01,.
2009-01-02,3174.63
2009-01-05,3159.44
2009-01-06,3190.11
2009-01-07,3095.58
2009-01-08,3090.56
2009-01-09,3035.24
2009-01-12,2976.17
2009-01-13,2948.09
2009-01-14,2856.88
2009-01-15,2876.05
2009-01-16,2895.41
2009-01-19,.
2009-01-20,2775.04
2009-01-21,2857.44
2009-01-22,2830.25
2009-01-23,2805.81
2009-01-26,2829.37
2009-01-27,2856.59
2009-01-28,2927.47
2009-01-29,2858.60
2009-01-30,2798.52
2009-02-02,2776.47
2009-02-03,2839.01
2009-02-04,2814.37
2009-02-05,2853.37
2009-02-06,2935.88
2009-02-09,2927.73
2009-02-10,2800.19
2009-02-11,2798.48
2009-02-12,2787.05
2009-02-13,2762.98
2009-02-16,.
2009-02-17,2640.76
2009-02-18,2621.72
2009-02-19,2594.54
2009-02-20,2560.40
2009-02-23,2472.74
2009-02-24,2567.67
2009-02-25,2515.46
2009-02-26,2471.41
2009-02-27,2434.72
2009-03-02,2319.30
2009-03-03,2285.85
2009-03-04,2349.29
2009-03-05,2238.15
2009-03-06,2232.45
2009-03-09,2195.30
2009-03-10,2314.25
2009-03-11,2322.87
2009-03-12,2391.52
2009-03-13,2407.17
2009-03-16,2444.57
2009-03-17,2505.96
2009-03-18,2547.64
2009-03-19,2538.86
2009-03-20,2482.40
2009-03-23,2643.27
2009-03-24,2596.61
2009-03-25,2608.51
2009-03-26,2703.78
2009-03-27,2644.28
2009-03-30,2555.28
2009-03-31,2587.24
2009-04-01,2627.64
2009-04-02,2729.70
2009-04-03,2749.52
2009-04-06,2720.10
2009-04-07,2651.61
2009-04-08,2678.12
2009-04-09,2762.79
2009-04-10,.
2009-04-13,2741.22
2009-04-14,2705.29
2009-04-15,2740.76
2009-04-16,2780.60
2009-04-17,2792.57
2009-04-20,2689.77
2009-04-21,2740.39
2009-04-22,2732.13
2009-04-23,2757.40
2009-04-24,2784.40
2009-04-27,2741.60
2009-04-28,2743.98
2009-04-29,2807.58
2009-04-30,2814.30
2009-05-01,2839.18
2009-05-04,2940.46
2009-05-05,2927.26
2009-05-06,2959.65
2009-05-07,2918.81
2009-05-08,2967.18
2009-05-11,2900.46
2009-05-12,2894.53
2009-05-13,2805.90
2009-05-14,2821.49
2009-05-15,2799.84
