DATE,VALUE
2008-09-22,4839.63
2008-09-23,4792.00
2008-09-24,4715.34
2008-09-25,4763.44
2008-09-26,4750.86
2008-09-29,4503.89
2008-09-30,4616.01
2008-10-01,4576.37
2008-10-02,4177.18
2008-10-03,4134.55
2008-10-06,4101.61
2008-10-07,3898.15
2008-10-08,3902.32
2008-10-09,3669.48
2008-10-10,3744.74
2008-10-13,4042.79
2008-10-14,3989.65
2008-10-15,3632.83
2008-10-16,3792.83
2008-10-17,3692.73
2008-10-20,3853.81
2008-10-21,3766.34
2008-10-22,3601.74
2008-10-23,3565.45
2008-10-24,3448.44
2008-10-27,3364.98
2008-10-28,3574.16
2008-10-29,3610.45
2008-10-30,3727.01
2008-10-31,3885.83
2008-11-03,3917.63
2008-11-04,4071.81
2008-11-05,3800.62
2008-11-06,3605.56
2008-11-07,3666.02
2008-11-10,3689.74
2008-11-11,3634.01
2008-11-12,3474.06
2008-11-13,3692.57
2008-11-14,3494.42
2008-11-17,3427.35
2008-11-18,3417.20
2008-11-19,3141.52
2008-11-20,2988.99
2008-11-21,3122.75
2008-11-24,3300.13
2008-11-25,3393.44
2008-11-26,3500.60
2008-11-27,.
2008-11-28,3512.20
2008-12-01,3196.83
2008-12-02,3315.86
2008-12-03,3400.76
2008-12-04,3368.33
2008-12-05,3433.33
2008-12-08,3589.63
2008-12-09,3387.10
2008-12-10,3444.16
2008-12-11,3251.73
2008-12-12,3245.44
2008-12-15,3206.11
2008-12-16,3380.70
2008-12-17,3466.12
2008-12-18,3381.68
2008-12-19,3389.47
2008-12-22,3336.63
2008-12-23,3308.59
2008-12-24,3339.00
2008-12-25,.
2008-12-26,3370.19
2008-12-29,3334.67
2008-12-30,3438.64
2008-12-31,3537.15
2009-01-01,.
2009-01-02,3651.02
2009-01-05,3626.54
2009-01-06,3717.26
2009-01-07,3567.26
2009-01-08,3558.34
2009-01-09,3460.71
2009-01-12,3318.84
2009-01-13,3279.26
2009-01-14,3121.31
2009-01-15,3169.77
2009-01-16,3147.60
2009-01-19,.
2009-01-20,2959.40
2009-01-21,3061.98
2009-01-22,3032.60
2009-01-23,2965.89
2009-01-26,2967.59
2009-01-27,3021.10
2009-01-28,3137.65
2009-01-29,3036.31
2009-01-30,2965.69
2009-02-02,2908.67
2009-02-03,3024.61
2009-02-04,2991.82
2009-02-05,3056.88
2009-02-06,3203.74
2009-02-09,3203.32
2009-02-10,3042.24
2009-02-11,3006.93
2009-02-12,2986.98
2009-02-13,2957.28
2009-02-16,.
2009-02-17,2803.62
2009-02-18,2765.88
2009-02-19,2708.30
2009-02-20,2698.87
2009-02-23,2586.70
2009-02-24,2709.90
2009-02-25,2602.06
2009-02-26,2531.85
2009-02-27,2499.07
2009-03-02,2332.88
2009-03-03,2294.99
2009-03-04,2405.72
2009-03-05,2241.43
2009-03-06,2194.99
2009-03-09,2146.89
2009-03-10,2301.74
2009-03-11,2346.80
2009-03-12,2419.58
2009-03-13,2419.89
2009-03-16,2509.48
2009-03-17,2590.10
2009-03-18,2632.48
2009-03-19,2637.27
2009-03-20,2516.96
2009-03-23,2715.21
2009-03-24,2661.24
2009-03-25,2648.66
2009-03-26,2866.35
2009-03-27,2777.95
2009-03-30,2653.61
2009-03-31,2684.08
2009-04-01,2732.74
2009-04-02,2947.59
2009-04-03,2978.32
2009-04-06,2923.93
2009-04-07,2796.92
2009-04-08,2829.96
2009-04-09,2988.99
2009-04-10,.
2009-04-13,2958.99
2009-04-14,2940.07
2009-04-15,2975.27
2009-04-16,3060.54
2009-04-17,3094.87
2009-04-20,2924.86
2009-04-21,3019.97
2009-04-22,3069.56
2009-04-23,3108.84
2009-04-24,3137.76
2009-04-27,2990.74
2009-04-28,2991.31
2009-04-29,3106.41
2009-04-30,3144.15
2009-05-01,3152.39
2009-05-04,3366.53
2009-05-05,3335.70
2009-05-06,3404.11
2009-05-07,3308.28
2009-05-08,3351.17
2009-05-11,3221.73
2009-05-12,3148.68
2009-05-13,2999.45
2009-05-14,3035.48
2009-05-15,3053.01
2009-05-18,3146.00
2009-05-19,3141.36
2009-05-20,3139.61
2009-05-21,3017.85
2009-05-22,3005.79
2009-05-25,.
2009-05-26,3127.81
2009-05-27,3041.00
2009-05-28,3074.71
2009-05-29,3202.45
2009-06-01,3353.23
2009-06-02,3369.67
2009-06-03,3284.36
2009-06-04,3338.74
2009-06-05,3349.98
2009-06-08,3338.85
2009-06-09,3389.26
2009-06-10,3391.48
2009-06-11,3399.88
2009-06-12,3361.42
