DATE,VALUE
2008-09-22,441.27
2008-09-23,435.54
2008-09-24,436.34
2008-09-25,449.01
2008-09-26,445.11
2008-09-29,423.63
2008-09-30,428.45
2008-10-01,429.31
2008-10-02,415.52
2008-10-03,411.71
2008-10-06,389.07
2008-10-07,376.69
2008-10-08,367.59
2008-10-09,344.31
2008-10-10,324.57
2008-10-13,370.58
2008-10-14,368.79
2008-10-15,337.65
2008-10-16,350.61
2008-10-17,354.60
2008-10-20,384.19
2008-10-21,370.56
2008-10-22,348.10
2008-10-23,365.68
2008-10-24,353.70
2008-10-27,340.94
2008-10-28,378.69
2008-10-29,366.89
2008-10-30,384.62
2008-10-31,378.42
2008-11-03,378.87
2008-11-04,389.92
2008-11-05,374.19
2008-11-06,358.30
2008-11-07,375.77
2008-11-10,363.79
2008-11-11,363.99
2008-11-12,353.66
2008-11-13,379.71
2008-11-14,366.35
2008-11-17,365.33
2008-11-18,366.00
2008-11-19,353.82
2008-11-20,335.73
2008-11-21,366.34
2008-11-24,370.40
2008-11-25,373.07
2008-11-26,376.72
2008-11-27,.
2008-11-28,382.24
2008-12-01,358.02
2008-12-02,364.60
2008-12-03,371.80
2008-12-04,353.00
2008-12-05,361.44
2008-12-08,364.86
2008-12-09,358.48
2008-12-10,365.78
2008-12-11,363.33
2008-12-12,365.65
2008-12-15,359.83
2008-12-16,372.35
2008-12-17,362.03
2008-12-18,365.46
2008-12-19,364.23
2008-12-22,362.64
2008-12-23,355.42
2008-12-24,358.04
2008-12-25,.
2008-12-26,359.43
2008-12-29,358.58
2008-12-30,363.83
2008-12-31,370.76
2009-01-01,.
2009-01-02,378.82
2009-01-05,382.00
2009-01-06,379.53
2009-01-07,372.31
2009-01-08,373.51
2009-01-09,370.79
2009-01-12,370.94
2009-01-13,363.23
2009-01-14,359.50
2009-01-15,361.92
2009-01-16,369.79
2009-01-19,.
2009-01-20,362.14
2009-01-21,366.26
2009-01-22,365.54
2009-01-23,366.19
2009-01-26,375.85
2009-01-27,377.53
2009-01-28,380.62
2009-01-29,378.93
2009-01-30,369.70
2009-02-02,372.13
2009-02-03,376.41
2009-02-04,379.37
2009-02-05,381.34
2009-02-06,384.82
2009-02-09,381.09
2009-02-10,370.04
2009-02-11,369.43
2009-02-12,366.53
2009-02-13,365.37
2009-02-16,.
2009-02-17,347.77
2009-02-18,342.20
2009-02-19,344.31
2009-02-20,335.89
2009-02-23,327.35
2009-02-24,339.92
2009-02-25,334.23
2009-02-26,328.33
2009-02-27,323.97
2009-03-02,312.51
2009-03-03,302.57
2009-03-04,307.35
2009-03-05,296.26
2009-03-06,296.89
2009-03-09,290.68
2009-03-10,297.92
2009-03-11,295.55
2009-03-12,300.23
2009-03-13,303.91
2009-03-16,312.56
2009-03-17,317.92
2009-03-18,326.56
2009-03-19,329.33
2009-03-20,327.37
2009-03-23,340.49
2009-03-24,333.27
2009-03-25,333.13
2009-03-26,337.37
2009-03-27,331.27
2009-03-30,324.16
2009-03-31,329.37
2009-04-01,330.04
2009-04-02,334.48
2009-04-03,337.31
2009-04-06,332.76
2009-04-07,331.25
2009-04-08,336.83
2009-04-09,336.78
2009-04-10,.
2009-04-13,331.40
2009-04-14,327.19
2009-04-15,331.44
2009-04-16,331.81
2009-04-17,332.87
2009-04-20,328.39
2009-04-21,330.31
2009-04-22,326.11
2009-04-23,327.67
2009-04-24,326.95
2009-04-27,329.98
2009-04-28,332.10
2009-04-29,334.37
2009-04-30,334.20
2009-05-01,343.03
2009-05-04,347.34
2009-05-05,346.04
2009-05-06,344.08
2009-05-07,345.44
2009-05-08,350.46
2009-05-11,347.29
2009-05-12,350.13
2009-05-13,340.07
2009-05-14,338.89
2009-05-15,329.80
2009-05-18,330.24
2009-05-19,336.01
2009-05-20,330.68
2009-05-21,327.18
2009-05-22,329.28
2009-05-25,.
2009-05-26,338.27
2009-05-27,331.36
2009-05-28,338.40
2009-05-29,340.99
2009-06-01,352.22
2009-06-02,347.97
2009-06-03,342.16
2009-06-04,344.88
2009-06-05,344.60
2009-06-08,342.49
2009-06-09,340.82
2009-06-10,346.08
2009-06-11,353.54
2009-06-12,358.31
2009-06-15,350.36
2009-06-16,348.98
2009-06-17,348.01
2009-06-18,355.77
2009-06-19,351.63
2009-06-22,351.82
2009-06-23,349.10
2009-06-24,352.37
2009-06-25,358.12
2009-06-26,355.79
2009-06-29,359.95
2009-06-30,357.81
2009-07-01,361.65
2009-07-02,350.69
2009-07-03,.
2009-07-06,353.90
2009-07-07,346.45
2009-07-08,345.25
2009-07-09,347.21
2009-07-10,346.26
2009-07-13,352.09
2009-07-14,354.45
2009-07-15,361.66
2009-07-16,362.28
2009-07-17,359.65
2009-07-20,363.38
2009-07-21,367.07
2009-07-22,364.66
2009-07-23,373.85
2009-07-24,378.86
2009-07-27,378.56
2009-07-28,370.60
2009-07-29,369.23
2009-07-30,373.65
2009-07-31,369.47
2009-08-03,372.86
2009-08-04,370.57
2009-08-05,367.44
2009-08-06,367.65
2009-08-07,371.22
2009-08-10,372.52
2009-08-11,371.09
2009-08-12,373.01
2009-08-13,372.36
2009-08-14,373.07
2009-08-17,367.49
2009-08-18,368.30
2009-08-19,370.53
2009-08-20,373.08
2009-08-21,380.84
2009-08-24,381.50
2009-08-25,379.39
2009-08-26,378.16
2009-08-27,377.41
2009-08-28,377.08
2009-08-31,373.35
2009-09-01,370.74
2009-09-02,367.26
2009-09-03,368.68
2009-09-04,369.62
2009-09-07,.
2009-09-08,370.62
2009-09-09,370.48
2009-09-10,371.20
2009-09-11,369.74
2009-09-14,375.89
2009-09-15,378.71
2009-09-16,384.23
2009-09-17,381.67
2009-09-18,382.92
2009-09-21,381.46
2009-09-22,380.49
2009-09-23,378.67
2009-09-24,378.46
2009-09-25,377.00
2009-09-28,379.91
2009-09-29,380.27
2009-09-30,377.23
2009-10-01,370.18
2009-10-02,367.25
2009-10-05,371.56
2009-10-06,374.79
2009-10-07,373.79
2009-10-08,374.96
2009-10-09,377.17
2009-10-12,379.25
2009-10-13,376.86
2009-10-14,377.80
2009-10-15,381.17
2009-10-16,382.03
2009-10-19,387.70
2009-10-20,381.92
2009-10-21,382.43
2009-10-22,383.68
2009-10-23,377.43
2009-10-26,372.71
2009-10-27,370.40
2009-10-28,366.05
2009-10-29,369.93
2009-10-30,363.04
2009-11-02,362.66
2009-11-03,361.80
2009-11-04,364.32
2009-11-05,370.04
2009-11-06,369.93
2009-11-09,376.28
2009-11-10,377.20
2009-11-11,375.99
2009-11-12,370.69
2009-11-13,373.57
2009-11-16,378.32
2009-11-17,377.08
2009-11-18,375.66
2009-11-19,370.70
2009-11-20,371.84
2009-11-23,376.73
2009-11-24,378.21
2009-11-25,381.99
2009-11-26,.
2009-11-27,375.71
2009-11-30,379.20
2009-12-01,385.20
2009-12-02,390.39
2009-12-03,391.94
2009-12-04,389.77
2009-12-07,392.49
2009-12-08,391.28
2009-12-09,393.50
2009-12-10,398.73
2009-12-11,405.09
2009-12-14,406.72
2009-12-15,405.50
2009-12-16,403.38
2009-12-17,401.16
2009-12-18,402.48
2009-12-21,403.68
2009-12-22,400.97
2009-12-23,400.79
2009-12-24,403.37
2009-12-25,.
2009-12-28,404.02
2009-12-29,403.52
2009-12-30,404.12
2009-12-31,398.01
2010-01-01,.
2010-01-04,399.49
2010-01-05,395.37
2010-01-06,398.36
2010-01-07,396.61
2010-01-08,396.31
2010-01-11,400.47
2010-01-12,398.28
2010-01-13,401.59
2010-01-14,399.55
2010-01-15,398.07
2010-01-18,.
2010-01-19,403.88
2010-01-20,399.56
2010-01-21,393.31
2010-01-22,383.99
2010-01-25,386.14
2010-01-26,387.60
2010-01-27,385.45
2010-01-28,380.62
2010-01-29,378.25
2010-02-01,381.12
2010-02-02,384.27
2010-02-03,380.60
2010-02-04,370.60
2010-02-05,369.45
2010-02-08,365.63
2010-02-09,369.49
2010-02-10,367.44
2010-02-11,367.38
2010-02-12,364.55
2010-02-15,.
2010-02-16,371.55
2010-02-17,370.29
2010-02-18,372.17
2010-02-19,377.10
2010-02-22,374.22
2010-02-23,371.35
2010-02-24,371.71
2010-02-25,369.82
2010-02-26,367.39
2010-03-01,372.21
2010-03-02,373.98
2010-03-03,373.56
2010-03-04,374.21
2010-03-05,378.20
2010-03-08,377.54
2010-03-09,376.41
2010-03-10,377.45
2010-03-11,378.79
2010-03-12,376.80
2010-03-15,378.79
2010-03-16,382.77
2010-03-17,384.01
2010-03-18,382.12
2010-03-19,381.80
2010-03-22,379.41
2010-03-23,380.97
2010-03-24,377.43
2010-03-25,375.21
2010-03-26,376.36
2010-03-29,380.27
2010-03-30,379.36
2010-03-31,378.82
2010-04-01,383.02
2010-04-02,.
2010-04-05,384.92
2010-04-06,387.69
2010-04-07,384.22
2010-04-08,382.65
2010-04-09,384.92
2010-04-12,386.14
2010-04-13,384.34
2010-04-14,383.98
2010-04-15,383.63
2010-04-16,379.46
2010-04-19,379.79
2010-04-20,384.26
2010-04-21,384.42
2010-04-22,384.88
2010-04-23,388.52
2010-04-26,386.87
2010-04-27,380.14
2010-04-28,384.35
2010-04-29,384.65
2010-04-30,387.95
2010-05-03,392.76
2010-05-04,385.17
2010-05-05,382.32
2010-05-06,372.04
2010-05-07,370.85
2010-05-10,381.65
2010-05-11,382.40
2010-05-12,384.84
2010-05-13,382.74
2010-05-14,379.82
2010-05-17,379.49
2010-05-18,375.49
2010-05-19,371.39
2010-05-20,359.83
2010-05-21,361.79
2010-05-24,358.50
2010-05-25,355.99
2010-05-26,354.59
2010-05-27,361.79
2010-05-28,361.19
2010-05-31,.
2010-06-01,353.02
2010-06-02,360.50
2010-06-03,364.31
2010-06-04,354.27
2010-06-07,356.49
2010-06-08,361.11
2010-06-09,358.50
2010-06-10,368.32
2010-06-11,367.77
2010-06-14,369.35
2010-06-15,377.23
2010-06-16,379.44
2010-06-17,382.64
2010-06-18,383.36
2010-06-21,380.27
2010-06-22,371.43
2010-06-23,367.11
2010-06-24,365.47
2010-06-25,366.21
2010-06-28,367.92
2010-06-29,360.32
2010-06-30,357.74
2010-07-01,356.46
2010-07-02,356.27
2010-07-05,.
2010-07-06,360.37
2010-07-07,372.03
2010-07-08,375.81
2010-07-09,377.97
2010-07-12,379.46
2010-07-13,380.50
2010-07-14,381.30
2010-07-15,383.75
2010-07-16,377.65
2010-07-19,382.75
2010-07-20,386.05
2010-07-21,380.76
2010-07-22,386.77
2010-07-23,386.76
2010-07-26,388.78
2010-07-27,395.34
2010-07-28,393.12
2010-07-29,387.34
2010-07-30,385.53
2010-08-02,393.89
2010-08-03,392.33
2010-08-04,392.53
2010-08-05,392.63
2010-08-06,393.72
2010-08-09,395.02
2010-08-10,396.74
2010-08-11,388.23
2010-08-12,386.58
2010-08-13,387.70
2010-08-16,387.51
2010-08-17,391.24
2010-08-18,388.85
2010-08-19,383.75
2010-08-20,385.63
2010-08-23,387.80
2010-08-24,389.00
2010-08-25,387.26
2010-08-26,385.37
2010-08-27,392.46
2010-08-30,387.21
2010-08-31,388.97
2010-09-01,397.36
2010-09-02,396.87
2010-09-03,399.52
2010-09-06,.
2010-09-07,397.44
2010-09-08,395.82
2010-09-09,398.60
2010-09-10,394.74
2010-09-13,396.11
2010-09-14,395.26
2010-09-15,392.41
2010-09-16,390.92
2010-09-17,391.12
2010-09-20,397.02
2010-09-21,395.14
2010-09-22,397.26
2010-09-23,393.62
2010-09-24,399.93
2010-09-27,400.58
2010-09-28,400.95
2010-09-29,399.39
2010-09-30,398.23
2010-10-01,400.37
2010-10-04,398.88
2010-10-05,403.02
2010-10-06,401.62
2010-10-07,402.21
2010-10-08,403.91
2010-10-11,404.01
2010-10-12,402.98
2010-10-13,405.69
2010-10-14,405.17
2010-10-15,406.23
2010-10-18,410.37
2010-10-19,407.89
2010-10-20,411.33
2010-10-21,409.76
2010-10-22,406.83
2010-10-25,405.20
2010-10-26,404.26
2010-10-27,402.84
2010-10-28,403.98
2010-10-29,404.86
2010-11-01,401.75
2010-11-02,406.65
2010-11-03,405.16
2010-11-04,409.72
2010-11-05,409.60
2010-11-08,406.76
2010-11-09,406.47
2010-11-10,403.48
2010-11-11,404.41
2010-11-12,401.06
2010-11-15,401.86
2010-11-16,397.29
2010-11-17,397.03
2010-11-18,399.37
2010-11-19,398.00
2010-11-22,398.41
2010-11-23,393.75
2010-11-24,395.25
2010-11-25,.
2010-11-26,392.64
2010-11-29,391.35
2010-11-30,391.40
2010-12-01,396.23
2010-12-02,397.67
2010-12-03,399.03
2010-12-06,397.35
2010-12-07,395.69
2010-12-08,394.18
2010-12-09,395.45
2010-12-10,397.39
2010-12-13,399.54
2010-12-14,400.40
2010-12-15,396.70
2010-12-16,400.51
2010-12-17,401.66
2010-12-20,403.75
2010-12-21,403.43
2010-12-22,405.40
2010-12-23,405.73
2010-12-24,.
2010-12-27,405.86
2010-12-28,406.92
2010-12-29,405.55
2010-12-30,404.75
2010-12-31,404.99
2011-01-03,406.58
2011-01-04,408.52
2011-01-05,406.20
2011-01-06,406.43
2011-01-07,407.72
2011-01-10,405.41
2011-01-11,406.10
2011-01-12,408.63
2011-01-13,409.34
2011-01-14,410.87
2011-01-17,.
2011-01-18,411.78
2011-01-19,411.31
2011-01-20,413.71
2011-01-21,413.34
2011-01-24,415.59
2011-01-25,414.58
2011-01-26,413.39
2011-01-27,414.42
2011-01-28,408.94
2011-01-31,409.35
2011-02-01,413.57
2011-02-02,411.99
2011-02-03,413.62
2011-02-04,411.01
2011-02-07,413.83
2011-02-08,413.78
2011-02-09,413.56
2011-02-10,414.37
2011-02-11,413.34
2011-02-14,409.76
2011-02-15,410.71
2011-02-16,409.19
2011-02-17,411.23
2011-02-18,411.13
2011-02-21,.
2011-02-22,410.34
2011-02-23,409.37
2011-02-24,408.32
2011-02-25,410.88
2011-02-28,415.61
2011-03-01,411.57
2011-03-02,411.45
2011-03-03,414.95
2011-03-04,412.56
2011-03-07,413.22
2011-03-08,417.11
2011-03-09,421.82
2011-03-10,416.57
2011-03-11,417.99
2011-03-14,412.04
2011-03-15,404.40
2011-03-16,397.22
2011-03-17,398.43
2011-03-18,400.18
2011-03-21,406.23
2011-03-22,406.35
2011-03-23,406.04
2011-03-24,407.84
2011-03-25,408.07
2011-03-28,406.07
2011-03-29,409.51
2011-03-30,414.25
2011-03-31,413.06
2011-04-01,415.80
2011-04-04,415.16
2011-04-05,413.88
2011-04-06,417.05
2011-04-07,415.28
2011-04-08,414.45
2011-04-11,408.51
2011-04-12,407.67
2011-04-13,409.45
2011-04-14,411.88
2011-04-15,416.07
2011-04-18,412.50
2011-04-19,412.48
2011-04-20,417.70
2011-04-21,418.37
2011-04-22,.
2011-04-25,418.49
2011-04-26,422.78
2011-04-27,425.76
2011-04-28,428.42
2011-04-29,429.06
2011-05-02,428.55
2011-05-03,432.18
2011-05-04,430.94
2011-05-05,427.91
2011-05-06,429.81
2011-05-09,431.17
2011-05-10,437.32
2011-05-11,436.24
2011-05-12,439.54
2011-05-13,436.91
2011-05-16,436.59
2011-05-17,440.41
2011-05-18,439.38
2011-05-19,439.92
2011-05-20,439.82
2011-05-23,434.53
2011-05-24,434.15
2011-05-25,433.45
2011-05-26,432.84
2011-05-27,433.54
2011-05-30,.
2011-05-31,436.37
2011-06-01,431.52
2011-06-02,429.97
2011-06-03,427.21
2011-06-06,424.98
2011-06-07,425.38
2011-06-08,426.09
2011-06-09,426.75
2011-06-10,423.83
2011-06-13,424.45
2011-06-14,426.63
2011-06-15,420.88
2011-06-16,424.33
2011-06-17,426.79
2011-06-20,429.17
2011-06-21,429.80
2011-06-22,427.37
2011-06-23,423.43
2011-06-24,423.99
2011-06-27,427.08
2011-06-28,429.23
2011-06-29,431.29
2011-06-30,433.48
2011-07-01,439.03
2011-07-04,.
2011-07-05,436.37
2011-07-06,437.01
2011-07-07,438.80
2011-07-08,436.75
2011-07-11,431.38
2011-07-12,433.06
2011-07-13,432.38
2011-07-14,430.61
2011-07-15,432.02
2011-07-18,427.76
2011-07-19,431.89
2011-07-20,434.61
2011-07-21,441.33
2011-07-22,439.23
2011-07-25,440.09
2011-07-26,438.62
2011-07-27,438.14
2011-07-28,435.43
2011-07-29,431.17
2011-08-01,432.55
2011-08-02,425.31
2011-08-03,424.94
2011-08-04,410.63
2011-08-05,414.72
2011-08-08,391.02
