DATE,VALUE
1978-12-29,100.00
1979-01-01,.
1979-01-02,100.61
1979-01-03,101.70
1979-01-04,102.62
1979-01-05,103.24
1979-01-08,103.00
1979-01-09,103.52
1979-01-10,102.97
1979-01-11,103.46
1979-01-12,104.27
1979-01-15,104.99
1979-01-16,103.79
1979-01-17,103.77
1979-01-18,104.21
1979-01-19,104.15
1979-01-22,104.26
1979-01-23,104.94
1979-01-24,104.58
1979-01-25,105.62
1979-01-26,106.31
1979-01-29,106.05
1979-01-30,105.68
1979-01-31,104.48
1979-02-01,104.56
1979-02-02,104.18
1979-02-05,102.85
1979-02-06,102.93
1979-02-07,102.02
1979-02-08,102.61
1979-02-09,102.90
1979-02-12,103.25
1979-02-13,104.06
1979-02-14,103.95
1979-02-15,103.89
1979-02-16,103.92
1979-02-19,.
1979-02-20,104.75
1979-02-21,104.47
1979-02-22,103.76
1979-02-23,103.19
1979-02-26,103.11
1979-02-27,101.46
1979-02-28,101.60
1979-03-01,102.31
1979-03-02,102.42
1979-03-05,103.62
1979-03-06,103.40
1979-03-07,104.08
1979-03-08,105.19
1979-03-09,105.23
1979-03-12,105.41
1979-03-13,105.68
1979-03-14,105.65
1979-03-15,105.89
1979-03-16,106.73
1979-03-19,107.14
1979-03-20,106.58
1979-03-21,107.31
1979-03-22,107.77
1979-03-23,107.74
1979-03-26,107.25
1979-03-27,108.75
1979-03-28,108.37
1979-03-29,108.35
1979-03-30,107.95
1979-04-02,107.21
1979-04-03,108.70
1979-04-04,109.04
1979-04-05,109.69
1979-04-06,109.65
1979-04-09,109.35
1979-04-10,109.84
1979-04-11,108.85
1979-04-12,108.56
1979-04-13,.
1979-04-16,107.70
1979-04-17,107.71
1979-04-18,108.29
1979-04-19,107.89
1979-04-20,107.91
1979-04-23,108.24
1979-04-24,108.83
1979-04-25,109.22
1979-04-26,108.72
1979-04-27,108.48
1979-04-30,108.54
1979-05-01,108.58
1979-05-02,108.65
1979-05-03,108.71
1979-05-04,107.70
1979-05-07,105.87
1979-05-08,106.00
1979-05-09,106.37
1979-05-10,105.44
1979-05-11,105.57
1979-05-14,105.07
1979-05-15,105.18
1979-05-16,105.45
1979-05-17,107.06
1979-05-18,107.13
1979-05-21,107.42
1979-05-22,107.96
1979-05-23,107.57
1979-05-24,107.74
1979-05-25,108.11
1979-05-28,.
1979-05-29,108.00
1979-05-30,107.01
1979-05-31,107.06
1979-06-01,107.18
1979-06-04,107.43
1979-06-05,108.77
1979-06-06,109.52
1979-06-07,110.16
