DATE,VALUE
1991-12-31,1000.00
1992-01-01,.
1992-01-02,.
1992-01-03,.
1992-01-06,.
1992-01-07,.
1992-01-08,.
1992-01-09,.
1992-01-10,.
1992-01-13,.
1992-01-14,.
1992-01-15,.
1992-01-16,.
1992-01-17,.
1992-01-20,.
1992-01-21,.
1992-01-22,.
1992-01-23,.
1992-01-24,.
1992-01-27,.
1992-01-28,.
1992-01-29,.
1992-01-30,.
1992-01-31,977.30
1992-02-03,.
1992-02-04,.
1992-02-05,.
1992-02-06,.
1992-02-07,.
1992-02-10,.
1992-02-11,.
1992-02-12,.
1992-02-13,.
1992-02-14,.
1992-02-17,.
1992-02-18,.
1992-02-19,.
1992-02-20,.
1992-02-21,.
1992-02-24,.
1992-02-25,.
1992-02-26,.
1992-02-27,.
1992-02-28,983.07
1992-03-02,.
1992-03-03,.
1992-03-04,.
1992-03-05,.
1992-03-06,.
1992-03-09,.
1992-03-10,.
1992-03-11,.
1992-03-12,.
1992-03-13,.
1992-03-16,.
1992-03-17,.
1992-03-18,.
1992-03-19,.
1992-03-20,.
1992-03-23,.
1992-03-24,.
1992-03-25,.
1992-03-26,.
1992-03-27,.
1992-03-30,.
1992-03-31,948.50
1992-04-01,.
1992-04-02,.
1992-04-03,.
1992-04-06,.
1992-04-07,.
1992-04-08,.
1992-04-09,.
1992-04-10,.
1992-04-13,.
1992-04-14,.
1992-04-15,.
1992-04-16,.
1992-04-17,.
1992-04-20,.
1992-04-21,.
1992-04-22,.
1992-04-23,.
1992-04-24,.
1992-04-27,.
1992-04-28,.
1992-04-29,.
1992-04-30,943.69
1992-05-01,.
1992-05-04,.
1992-05-05,.
1992-05-06,.
1992-05-07,.
1992-05-08,.
1992-05-11,.
1992-05-12,.
1992-05-13,.
1992-05-14,.
1992-05-15,.
1992-05-18,.
1992-05-19,.
1992-05-20,.
1992-05-21,.
1992-05-22,.
1992-05-25,.
1992-05-26,.
1992-05-27,.
1992-05-28,.
1992-05-29,951.98
1992-06-01,.
1992-06-02,.
1992-06-03,.
1992-06-04,.
1992-06-05,.
1992-06-08,.
1992-06-09,.
1992-06-10,.
1992-06-11,.
1992-06-12,.
1992-06-15,.
1992-06-16,.
1992-06-17,.
1992-06-18,.
1992-06-19,.
1992-06-22,.
1992-06-23,.
1992-06-24,.
1992-06-25,.
1992-06-26,.
1992-06-29,.
1992-06-30,920.63
1992-07-01,.
1992-07-02,.
1992-07-03,.
1992-07-06,.
1992-07-07,.
1992-07-08,.
1992-07-09,.
1992-07-10,.
1992-07-13,.
1992-07-14,.
1992-07-15,.
1992-07-16,.
1992-07-17,.
1992-07-20,.
1992-07-21,.
1992-07-22,.
1992-07-23,.
1992-07-24,.
1992-07-27,.
1992-07-28,.
1992-07-29,.
1992-07-30,.
1992-07-31,961.18
1992-08-03,.
1992-08-04,.
1992-08-05,.
1992-08-06,.
1992-08-07,.
1992-08-10,.
1992-08-11,.
1992-08-12,.
1992-08-13,.
1992-08-14,.
1992-08-17,.
