DATE,VALUE
1993-09-01,323.84
1993-09-02,324.47
1993-09-03,324.29
1993-09-06,.
1993-09-07,319.72
1993-09-08,314.99
1993-09-09,317.22
1993-09-10,320.22
1993-09-13,319.97
1993-09-14,317.53
1993-09-15,319.52
1993-09-16,319.79
1993-09-17,319.71
1993-09-20,319.25
1993-09-21,316.87
1993-09-22,320.53
1993-09-23,322.90
1993-09-24,323.03
1993-09-27,325.08
1993-09-28,326.49
1993-09-29,326.49
1993-09-30,327.62
1993-10-01,327.85
1993-10-04,329.11
1993-10-05,327.83
1993-10-06,328.80
1993-10-07,327.44
1993-10-08,326.96
1993-10-11,327.77
1993-10-12,329.28
1993-10-13,329.06
1993-10-14,329.56
1993-10-15,330.49
1993-10-18,328.24
1993-10-19,324.60
1993-10-20,324.34
1993-10-21,325.46
1993-10-22,325.47
1993-10-25,325.22
1993-10-26,324.97
1993-10-27,326.74
1993-10-28,328.08
1993-10-29,329.58
1993-11-01,329.83
1993-11-02,330.39
1993-11-03,325.09
1993-11-04,319.61
1993-11-05,321.36
1993-11-08,323.37
1993-11-09,324.90
1993-11-10,327.23
1993-11-11,328.31
1993-11-12,329.63
1993-11-15,326.65
1993-11-16,326.46
1993-11-17,324.05
1993-11-18,321.68
1993-11-19,320.91
1993-11-22,316.73
1993-11-23,318.83
1993-11-24,321.65
1993-11-25,.
1993-11-26,321.99
1993-11-29,321.36
1993-11-30,322.53
1993-12-01,325.49
1993-12-02,326.30
1993-12-03,328.44
1993-12-06,328.39
1993-12-07,328.92
1993-12-08,328.97
1993-12-09,327.22
1993-12-10,327.19
1993-12-13,328.20
1993-12-14,326.65
1993-12-15,326.73
1993-12-16,327.24
1993-12-17,329.90
1993-12-20,329.92
1993-12-21,327.90
1993-12-22,328.06
1993-12-23,329.53
1993-12-24,.
1993-12-27,330.65
1993-12-28,332.51
1993-12-29,334.86
1993-12-30,335.13
1993-12-31,337.52
1994-01-03,334.76
1994-01-04,335.16
1994-01-05,336.48
1994-01-06,336.80
1994-01-07,337.61
1994-01-10,338.29
1994-01-11,338.38
1994-01-12,338.70
1994-01-13,338.66
1994-01-14,339.97
1994-01-17,340.53
1994-01-18,340.39
1994-01-19,339.21
1994-01-20,340.96
1994-01-21,340.67
1994-01-24,340.05
1994-01-25,338.93
1994-01-26,340.05
1994-01-27,342.86
1994-01-28,344.93
1994-01-31,347.20
1994-02-01,347.67
1994-02-02,349.48
1994-02-03,348.93
1994-02-04,341.11
1994-02-07,340.92
1994-02-08,343.86
1994-02-09,346.34
1994-02-10,344.62
1994-02-11,343.29
1994-02-14,343.93
1994-02-15,346.04
1994-02-16,347.19
1994-02-17,346.25
1994-02-18,344.10
1994-02-21,.
1994-02-22,345.31
1994-02-23,345.06
1994-02-24,341.05
1994-02-25,342.58
1994-02-28,345.33
1994-03-01,344.42
1994-03-02,343.03
1994-03-03,343.31
1994-03-04,345.70
1994-03-07,348.79
1994-03-08,348.04
1994-03-09,347.58
1994-03-10,346.44
1994-03-11,346.81
1994-03-14,348.89
1994-03-15,348.33
1994-03-16,350.85
1994-03-17,351.93
1994-03-18,353.82
1994-03-21,351.37
1994-03-22,351.21
1994-03-23,352.22
1994-03-24,348.66
1994-03-25,346.54
1994-03-28,341.94
1994-03-29,335.17
1994-03-30,330.59
1994-03-31,328.36
1994-04-01,.
1994-04-04,323.99
1994-04-05,333.10
1994-04-06,332.72
1994-04-07,336.02
1994-04-08,332.70
1994-04-11,332.05
1994-04-12,328.32
1994-04-13,324.31
1994-04-14,324.89
1994-04-15,324.70
1994-04-18,322.66
1994-04-19,318.48
1994-04-20,313.94
1994-04-21,318.46
1994-04-22,320.04
1994-04-25,324.05
1994-04-26,325.84
1994-04-27,.
1994-04-28,325.29
1994-04-29,327.38
1994-05-02,330.12
1994-05-03,329.85
1994-05-04,329.78
1994-05-05,328.60
1994-05-06,326.01
1994-05-09,321.49
1994-05-10,322.93
1994-05-11,318.74
1994-05-12,318.71
1994-05-13,317.36
1994-05-16,315.08
1994-05-17,314.92
1994-05-18,320.06
1994-05-19,322.46
1994-05-20,321.74
1994-05-23,321.11
1994-05-24,321.12
1994-05-25,321.70
1994-05-26,322.77
1994-05-27,323.35
1994-05-30,.
1994-05-31,322.61
1994-06-01,324.21
1994-06-02,326.39
1994-06-03,327.57
1994-06-06,328.70
1994-06-07,327.83
1994-06-08,324.81
1994-06-09,324.15
1994-06-10,325.39
1994-06-13,325.56
1994-06-14,327.09
1994-06-15,326.62
1994-06-16,327.43
1994-06-17,324.76
1994-06-20,320.88
1994-06-21,316.68
1994-06-22,317.97
1994-06-23,314.77
1994-06-24,309.91
1994-06-27,311.20
1994-06-28,311.00
1994-06-29,312.22
1994-06-30,311.78
1994-07-01,313.84
1994-07-04,.
1994-07-05,314.64
1994-07-06,314.66
1994-07-07,316.33
1994-07-08,315.39
1994-07-11,314.67
1994-07-12,315.54
1994-07-13,317.76
1994-07-14,320.79
1994-07-15,320.33
1994-07-18,320.09
1994-07-19,319.36
1994-07-20,316.81
1994-07-21,316.43
1994-07-22,316.46
1994-07-25,316.37
1994-07-26,315.72
1994-07-27,314.43
1994-07-28,314.15
1994-07-29,317.81
1994-08-01,320.22
1994-08-02,320.33
1994-08-03,320.77
1994-08-04,319.91
1994-08-05,318.58
1994-08-08,320.34
1994-08-09,320.70
1994-08-10,323.11
1994-08-11,322.99
1994-08-12,324.23
1994-08-15,325.10
1994-08-16,325.27
1994-08-17,326.44
1994-08-18,326.39
1994-08-19,326.96
1994-08-22,326.94
1994-08-23,328.43
1994-08-24,330.09
1994-08-25,330.53
1994-08-26,332.94
1994-08-29,333.79
1994-08-30,335.22
1994-08-31,335.06
1994-09-01,333.03
1994-09-02,332.50
1994-09-05,.
1994-09-06,332.28
1994-09-07,333.90
1994-09-08,335.57
1994-09-09,333.23
1994-09-12,332.34
1994-09-13,332.87
1994-09-14,334.08
1994-09-15,337.63
1994-09-16,337.01
1994-09-19,335.04
1994-09-20,331.58
1994-09-21,328.63
1994-09-22,327.73
1994-09-23,326.36
1994-09-26,325.22
1994-09-27,325.02
1994-09-28,326.45
1994-09-29,325.41
1994-09-30,326.71
1994-10-03,325.37
1994-10-04,320.17
1994-10-05,317.54
1994-10-06,317.42
1994-10-07,319.70
1994-10-10,322.56
1994-10-11,325.85
1994-10-12,326.44
1994-10-13,327.63
1994-10-14,327.69
1994-10-17,327.42
1994-10-18,326.55
1994-10-19,328.62
1994-10-20,327.45
1994-10-21,325.86
1994-10-24,323.05
1994-10-25,322.45
1994-10-26,323.14
1994-10-27,325.52
1994-10-28,329.55
1994-10-31,328.94
1994-11-01,327.19
1994-11-02,327.52
1994-11-03,328.32
1994-11-04,325.72
1994-11-07,324.35
1994-11-08,325.21
1994-11-09,324.47
1994-11-10,323.22
1994-11-11,321.69
1994-11-14,322.69
1994-11-15,323.56
1994-11-16,323.18
1994-11-17,321.13
1994-11-18,319.58
1994-11-21,317.10
1994-11-22,310.76
1994-11-23,309.50
1994-11-24,.
1994-11-25,312.19
1994-11-28,313.40
1994-11-29,314.96
1994-11-30,314.85
1994-12-01,312.16
1994-12-02,313.25
1994-12-05,313.54
1994-12-06,312.06
1994-12-07,311.11
1994-12-08,305.76
1994-12-09,305.43
1994-12-12,305.87
1994-12-13,306.08
1994-12-14,308.21
1994-12-15,311.47
1994-12-16,311.94
1994-12-19,311.16
1994-12-20,311.46
1994-12-21,313.79
1994-12-22,313.89
1994-12-23,315.27
1994-12-26,.
1994-12-27,317.00
1994-12-28,316.38
1994-12-29,318.00
1994-12-30,321.06
1995-01-02,.
1995-01-03,318.87
1995-01-04,319.44
1995-01-05,318.69
1995-01-06,319.57
1995-01-09,320.09
1995-01-10,321.03
1995-01-11,319.89
1995-01-12,319.74
1995-01-13,321.04
1995-01-16,323.36
1995-01-17,325.14
1995-01-18,324.59
1995-01-19,323.35
1995-01-20,321.73
1995-01-23,320.01
1995-01-24,320.77
1995-01-25,320.24
1995-01-26,319.32
1995-01-27,319.88
1995-01-30,316.68
1995-01-31,317.19
1995-02-01,317.46
1995-02-02,319.59
1995-02-03,322.62
1995-02-06,325.71
1995-02-07,326.32
1995-02-08,327.47
1995-02-09,327.83
1995-02-10,330.26
1995-02-13,330.08
1995-02-14,329.28
1995-02-15,331.08
1995-02-16,329.34
1995-02-17,327.83
1995-02-20,.
1995-02-21,327.44
1995-02-22,327.87
1995-02-23,330.04
1995-02-24,330.39
1995-02-27,328.58
1995-02-28,332.81
1995-03-01,332.54
1995-03-02,332.33
1995-03-03,332.96
1995-03-06,332.13
1995-03-07,329.14
1995-03-08,330.30
1995-03-09,329.35
1995-03-10,331.47
1995-03-13,331.72
1995-03-14,332.80
1995-03-15,332.37
1995-03-16,332.86
1995-03-17,331.95
1995-03-20,332.11
1995-03-21,331.60
1995-03-22,331.08
1995-03-23,331.23
1995-03-24,333.05
1995-03-27,335.14
1995-03-28,335.46
1995-03-29,335.31
1995-03-30,336.23
1995-03-31,335.52
1995-04-03,337.42
1995-04-04,338.03
1995-04-05,338.91
1995-04-06,339.16
1995-04-07,338.72
1995-04-10,340.24
1995-04-11,341.95
1995-04-12,343.25
1995-04-13,345.10
1995-04-14,.
1995-04-17,343.65
1995-04-18,341.91
1995-04-19,338.94
1995-04-20,339.77
1995-04-21,340.84
1995-04-24,342.98
1995-04-25,343.50
1995-04-26,343.94
1995-04-27,344.85
1995-04-28,345.30
1995-05-01,344.68
1995-05-02,344.63
1995-05-03,346.42
1995-05-04,344.57
1995-05-05,344.41
1995-05-08,346.86
1995-05-09,347.57
1995-05-10,348.15
1995-05-11,350.40
1995-05-12,351.85
1995-05-15,353.22
1995-05-16,354.39
1995-05-17,355.20
1995-05-18,352.16
1995-05-19,352.45
1995-05-22,353.79
1995-05-23,355.78
1995-05-24,355.32
1995-05-25,354.96
1995-05-26,352.03
1995-05-29,.
1995-05-30,349.42
1995-05-31,352.57
1995-06-01,353.60
1995-06-02,353.61
1995-06-05,356.55
1995-06-06,356.59
1995-06-07,356.09
1995-06-08,357.37
1995-06-09,356.71
1995-06-12,357.02
1995-06-13,358.80
1995-06-14,360.12
1995-06-15,363.00
1995-06-16,363.53
1995-06-19,365.02
1995-06-20,364.84
1995-06-21,365.03
1995-06-22,367.55
1995-06-23,367.21
1995-06-26,363.35
1995-06-27,362.35
1995-06-28,361.73
1995-06-29,362.49
